filename,plane,ship,none
0__20151118_160627_0c72__-118.0070959248621_33.80402655631744.png,0,0,1
0__20170618_180601_0f1d__-121.86288421431557_37.31946682904842.png,0,0,1
0__20170401_235812_0c13__-117.250287635_32.7025402823.png,0,0,1
0__20170308_175227_0e0e__-118.405286803_33.9415180677.png,0,0,1
0__20170303_180823_0e26__-121.849426855_37.3271784304.png,0,0,1
0__20170717_174841_103a__-117.42969659317548_34.003632909826976.png,0,0,1
1__20161212_180859_0e30__-122.393225359_37.6179558959.png,1,0,0
1__20170615_174858_0f51__-118.40473405414056_33.945758062355.png,1,0,0
1__20170628_174357_1044__-117.20475960423737_32.73425118195704.png,1,0,0
0__20161203_174949_0e30__-118.401658264_33.9399632549.png,0,0,1
0__20160811_174014_0e0e__-117.15000406151995_32.719073028183466.png,0,0,1
0__20170308_175227_0e0e__-118.39975193_33.9404989715.png,0,0,1
0__20170722_181137_0e30__-121.67177414516591_37.35719721800971.png,0,0,1
0__20170520_174843_1008__-118.514099219_33.8814133196.png,0,0,1
1__20161128_174850_0e30__-118.387684653_33.9340477477.png,1,0,0
1__20170919_181413_0f1b__-122.33481795170351_37.72620667112722.png,0,1,0
1__20170627_175043_100a__-118.40650684989104_33.93952360405632.png,1,0,0
0__20170211_181115_0e16__-122.4678327698074_37.79150661983748.png,0,0,1
1__20170501_180620_1005__-122.393963872_37.618967716.png,1,0,0
0__20161114_154004_0c41__-118.365668168_33.9790279906.png,0,0,1
0__20160222_174547_0c73__-119.18360974752453_34.1641736846374.png,0,0,1
0__20170106_180434_1_0d05__-121.618667512_38.6946334687.png,0,0,1
0__20170415_180502_1024__-122.43783587024419_37.82914113857497.png,0,0,1
0__20160627_155710_0c13__-118.391173912_33.7499439301.png,0,0,1
1__20170415_180506_1024__-122.380471928_37.6256950895.png,1,0,0
1__20170619_180819_0f3f__-122.37794452939903_37.628239845956244.png,1,0,0
0__20170722_175456_0f15__-119.15789344065631_34.163790198577686.png,0,0,1
0__20180711_182157_1048__-122.3224996360039_37.76299121906046.png,0,0,1
0__20171127_185539_0f29__-122.15749000513365_37.86418788753173.png,0,0,1
0__20170312_180809_0e0e__-121.470180061_38.7441480864.png,0,0,1
0__20160222_173713_0c18__-117.74997251082219_33.597571725003306.png,0,0,1
1__20170724_181038_1011__-122.37826876849662_37.628834291809525.png,1,0,0
0__20170627_174937_1015__-118.38235791961029_33.93474363848015.png,0,0,1
0__20161018_193327_0c45__-122.390748008_37.6183226862.png,0,0,1
1__20170618_173641_0c38__-118.40738912247757_33.94100007508055.png,1,0,0
